X__1,FDR,desc
PBANKA_0100041,0.020633274382768997,"conserved rodent malaria protein, unknown function"
PBANKA_0100600,0.000393285220132899,schizont membrane associated cytoadherence protein
PBANKA_0100700,1.2919174508698601e-06,"Plasmodium exported protein, unknown function"
PBANKA_0100900,3.4864425717198394e-08,"ATP-dependent RNA helicase, putative"
PBANKA_0101000,9.068592758157191e-05,"MYND-type zinc finger protein, putative"
PBANKA_0101200,0.041131278660759,"elongation factor G, putative"
PBANKA_0102300,0.0402730872817359,cation/H+ antiporter
PBANKA_0102900,8.237092780100029e-24,"AP2 domain transcription factor, putative"
PBANKA_0103400,7.08938946031182e-08,"glyoxalase I-like protein GILP, putative"
PBANKA_0103800,3.8927422383245596e-05,"50S ribosomal protein L24, putative"
PBANKA_0104100,0.0357045110582283,"serine/threonine protein kinase, putative"
PBANKA_0104900,4.0783843493476005e-08,"RNA-binding protein, putative"
PBANKA_0105500,0.008579917717457891,glutaredoxin-like protein
PBANKA_0105600,0.000785827859198782,"translation initiation factor IF-2, putative"
PBANKA_0105700,2.7289807695003702e-14,"MYND-type zinc finger protein, putative"
PBANKA_0106200,0.004068305940642,spindle assembly abnormal protein 6
PBANKA_0106300,0.0181791212631434,"conserved Plasmodium protein, unknown function"
PBANKA_0106600,2.18400683744985e-15,"diphthine methyltransferase, putative"
PBANKA_0107100,9.85429566149751e-13,"proteasome subunit alpha type-2, putative"
PBANKA_0107300,3.8406231060612e-10,"T-complex protein 1 subunit zeta, putative"
PBANKA_0107400,3.8198335424045196e-10,"ornithine aminotransferase, putative"
PBANKA_0107700,0.0122754831404785,zinc transporter ZIP1
PBANKA_0108100,2.2700681526630003e-11,"conserved Plasmodium protein, unknown function"
PBANKA_0108200,0.000317264333850706,"conserved Plasmodium protein, unknown function"
PBANKA_0108300,0.0193657525069632,palmitoyltransferase DHHC2
PBANKA_0108800,1.67108966945643e-05,"histone H3, putative"
PBANKA_0109100,8.825479174757619e-08,"transketolase, putative"
PBANKA_0109400,0.0194261928807799,"succinate dehydrogenase subunit 3, putative"
PBANKA_0109500,0.0049861907634176795,"AP2 domain transcription factor, putative"
PBANKA_0109700,0.0244117239746779,"SWIB/MDM2 domain-containing protein, putative"
PBANKA_0109900,3.6132523139444896e-09,"basal complex transmembrane protein 1, putative"
PBANKA_0110300,1.71247825915615e-07,"conserved Plasmodium protein, unknown function"
PBANKA_0110500,0.00347674762833923,leucine-rich repeat protein
PBANKA_0110900,0.000648421907275779,"cytoplasmic tRNA 2-thiolation protein 1, putative"
PBANKA_0111000,9.50214105699298e-18,6-cysteine protein
PBANKA_0111300,0.00016612764636505901,"conserved Plasmodium protein, unknown function"
PBANKA_0112100,9.50715791938138e-45,"AP2 domain transcription factor, putative"
PBANKA_0112200,3.3215825050453195e-05,"myosin E, putative"
PBANKA_0112300,0.0031178652891876,"conserved Plasmodium protein, unknown function"
PBANKA_0200650,0.0026704319478353103,fam-a protein
PBANKA_0201340,0.00032141694190879303,fam-c protein
PBANKA_0201600,3.86314979660519e-09,early transcribed membrane protein
PBANKA_0201900,9.30563612576342e-06,"conserved protein, unknown function"
PBANKA_0202900,0.00740379945726147,"transcription initiation factor TFIIB, putative"
PBANKA_0203000,6.63924223935152e-26,"chromatin assembly factor 1 protein WD40 domain, putative"
PBANKA_0203300,0.0363128671364603,"DNA-directed RNA polymerase II subunit RPB9, putative"
PBANKA_0204400,2.13494499654884e-15,"cleavage and polyadenylation specificity factor subunit 5, putative"
PBANKA_0204600,0.0377677244213761,photosensitized INA-labeled protein PHIL1
PBANKA_0205400,3.20315913877513e-05,"proteasome subunit beta type-3, putative"
PBANKA_0206100,2.0023129712182602e-05,"carbon catabolite repressor protein 4, putative"
PBANKA_0206300,1.02291822305394e-08,"centrin-1, putative"
PBANKA_0206500,1.90849772971481e-12,"ras-related protein Rab-5C, putative"
PBANKA_0206600,0.0313572371610774,"asparagine and aspartate rich protein 2, putative"
PBANKA_0206900,0.00218398764337621,"pre-rRNA-processing protein TSR2, putative"
PBANKA_0208000,6.3532778037864005e-06,cyclase-associated protein
PBANKA_0208900,9.77537574849859e-25,"StAR-related lipid transfer protein, putative"
PBANKA_0209300,9.961392139140659e-19,actin-related protein
PBANKA_0209700,2.26218086023021e-21,"zinc-carboxypeptidase, putative"
PBANKA_0209900,8.20276740984624e-05,"nucleoside transporter 4, putative"
PBANKA_0210200,0.0105279640220251,"aspartate--tRNA ligase, putative"
PBANKA_0211500,3.4590277029285104e-33,"proteasome subunit alpha type-5, putative"
PBANKA_0212100,2.50476554754202e-08,eukaryotic translation initiation factor 2 subunit alpha
PBANKA_0213400,2.34644174487501e-09,"60S ribosomal export protein NMD3, putative"
PBANKA_0213500,5.71380786679477e-08,"ribosome biogenesis protein BRX1, putative"
PBANKA_0213600,0.00349137016469808,"mRNA (N6-adenosine)-methyltransferase, putative"
PBANKA_0214000,1.8808629397039603e-11,"dynein heavy chain, putative"
PBANKA_0214300,1.9389798543116e-05,"AP-4 complex subunit beta, putative"
PBANKA_0214400,5.3435390789576605e-12,AP2 domain transcription factor AP2-L
PBANKA_0214500,0.0034687658598231198,"IMP1-like protein, putative"
PBANKA_0214900,0.00164796075207786,fam-a protein
PBANKA_0216000,1.4004889867364801e-05,PIR protein
PBANKA_0216781,3.19157124383399e-16,fam-a protein
PBANKA_0300100,1.5013588540507498e-10,PIR protein
PBANKA_0301600,8.978934950798471e-10,"conserved Plasmodium protein, unknown function"
PBANKA_0301800,0.0435943947635771,"condensin-2 complex subunit H2, putative"
PBANKA_0302800,5.2243701021495395e-09,"conserved Plasmodium protein, unknown function"
PBANKA_0303400,0.0226322105911478,"RNA-binding protein, putative"
PBANKA_0304000,5.78047531278646e-06,"pentafunctional AROM polypeptide, putative"
PBANKA_0304300,0.00209260586368522,"adenylosuccinate lyase, putative"
PBANKA_0304500,5.49555120466212e-05,"conserved Plasmodium protein, unknown function"
PBANKA_0304800,7.991933701024911e-14,serine repeat antigen 4
PBANKA_0304900,1.28831621978798e-10,serine repeat antigen 3
PBANKA_0305000,1.2689473939376398e-71,serine repeat antigen 2
PBANKA_0305100,0.000322314555841702,serine repeat antigen 1
PBANKA_0305200,1.11499981661236e-07,"conserved Plasmodium protein, unknown function"
PBANKA_0306000,1.76576044133017e-05,6-cysteine protein
PBANKA_0306100,1.0555008973080801e-05,6-cysteine protein
PBANKA_0306300,0.0010852924692077198,"3'exoribonuclease, putative"
PBANKA_0306500,0.0338345348970864,"conserved protein, unknown function"
PBANKA_0306700,5.88389703713344e-07,"transporter, putative"
PBANKA_0306800,6.83058503735451e-06,"ATP-dependent RNA helicase UAP56, putative"
PBANKA_0307200,0.0059430769824402605,"monocarboxylate transporter, putative"
PBANKA_0308100,0.0166385633659792,"ubiquinol-cytochrome-c reductase complex assembly factor 1, putative"
PBANKA_0308200,9.52933015323413e-06,"apicoplast beta-ketoacyl-acyl carrier protein synthase III precursor, putative"
PBANKA_0308600,2.81245616660296e-14,"asparagine--tRNA ligase, putative"
PBANKA_0308800,1.0594651476807599e-07,"GDP-fructose:GMP antiporter, putative"
PBANKA_0309500,4.51379045342799e-07,"secreted protein with altered thrombospondin repeat domain, putative"
PBANKA_0310000,4.0140619680306806e-16,"protein SIS1, putative"
PBANKA_0310100,0.0239584361612152,"conserved Plasmodium protein, unknown function"
PBANKA_0310300,0.0440961104859285,protein kinase 7
PBANKA_0310600,9.42523194074815e-05,"conserved protein, unknown function"
PBANKA_0310900,0.00584234694782872,"T-complex protein 1 subunit theta, putative"
PBANKA_0311100,0.0029733929637909603,"mitochondrial large ribosomal subunit, putative"
PBANKA_0311400,0.0179100590254901,"serine/threonine protein kinase, putative"
PBANKA_0311500,3.6544006622249996e-20,"conserved Plasmodium protein, unknown function"
PBANKA_0312500,0.00035839294958879705,"origin recognition complex subunit 5, putative"
PBANKA_0313300,9.041023730068321e-05,MtN3-like protein
PBANKA_0314200,6.39736435857228e-13,calcium-dependent protein kinase 1
PBANKA_0314500,2.2476533350635e-14,"40S ribosomal protein S26, putative"
PBANKA_0315200,0.000232535359456787,"small nuclear ribonucleoprotein Sm D2, putative"
PBANKA_0315800,0.0102676832933915,"ribosome associated membrane protein RAMP4, putative"
PBANKA_0315900,0.00520349596973456,"pseudouridine synthase, putative"
PBANKA_0316200,9.724345119118379e-50,"Plasmodium exported protein, unknown function"
PBANKA_0316800,0.00276477783451827,erythrocyte membrane associated protein 2
PBANKA_0316821,0.0159218780964965,"fam-a protein, pseudogene"
PBANKA_0316841,2.16161861825098e-06,fam-b protein
PBANKA_0317061,6.64376895209181e-06,fam-a protein
PBANKA_0400500,7.588250242794241e-29,PIR protein
PBANKA_0400800,4.03069280337105e-06,"fam-a protein, pseudogene"
PBANKA_0401100,7.2801940155461295e-09,"serine/threonine protein kinase, putative"
PBANKA_0401300,0.0246973089157819,"CDGSH iron-sulfur domain-containing protein, putative"
PBANKA_0402700,5.753616268236789e-07,inner membrane complex protein 1e
PBANKA_0403000,9.16596384381555e-05,"60S ribosomal protein L44, putative"
PBANKA_0403200,3.0238434707773705e-08,circumsporozoite (CS) protein
PBANKA_0403700,8.2937784208998e-05,"conserved Plasmodium protein, unknown function"
PBANKA_0404200,0.0382950310148046,"ubiquitin-conjugating enzyme E2, putative"
PBANKA_0404400,0.00428836023445066,"conserved Plasmodium protein, unknown function"
PBANKA_0404600,5.34289710276674e-19,"activator of Hsp90 ATPase, putative"
PBANKA_0404800,3.74222290826401e-06,"FAD-dependent glycerol-3-phosphate dehydrogenase, putative"
PBANKA_0405200,7.26709827682904e-27,"T-complex protein 1 subunit beta, putative"
PBANKA_0405300,5.33339504340385e-08,"40S ribosomal protein S23, putative"
PBANKA_0405400,2.46521829577403e-05,"40S ribosomal protein S12, putative"
PBANKA_0405500,0.0468983536603492,"60S ribosomal protein L7, putative"
PBANKA_0406400,3.22398355667924e-10,"zinc finger protein, putative"
PBANKA_0406500,3.7351348650581e-26,"T-complex protein 1 subunit eta, putative"
PBANKA_0406600,0.0475813451423438,"conserved Plasmodium protein, unknown function"
