X__1,FDR,desc
PBANKA_0623200,0.00514709460698555,"lysophospholipase, putative"
PBANKA_0623300,0.0153626010596866,tryptophan-rich protein
PBANKA_0911650,0.0351006119258506,U2 spliceosomal RNA
PBANKA_1033900,0.00514709460698555,"40S ribosomal protein S8e, putative"
PBANKA_1034400,0.0101228285364219,plasmepsin IV
PBANKA_1127000,0.0101228285364219,choline/ethanolaminephosphotransferase
PBANKA_1202400,0.00514709460698555,"60S ribosomal protein L13, putative"
PBANKA_1329300,0.012624933054031999,"40S ribosomal protein S3, putative"
PBANKA_1354400,0.0250880827261949,"60S ribosomal protein L18, putative"
PBANKA_1360100,0.0466091437945843,nucleoside transporter 1
