X__1,FDR,desc
PBANKA_0100041,2.5408478831255e-16,"conserved rodent malaria protein, unknown function"
PBANKA_0100500,1.08377257308318e-05,PIR protein
PBANKA_0100600,0.00390256693257995,schizont membrane associated cytoadherence protein
PBANKA_0100700,2.07087535116865e-09,"Plasmodium exported protein, unknown function"
PBANKA_0100800,0.00809423707807735,"zinc finger protein, putative"
PBANKA_0101300,2.72355716867462e-05,"geranylgeranyl transferase type-2 subunit beta, putative"
PBANKA_0101900,1.4725115978851999e-05,"RNA-binding protein, putative"
PBANKA_0102500,0.0091675143692366,"phenylalanine--tRNA ligase, putative"
PBANKA_0102600,0.00106757227014663,"centrosomal protein CEP76, putative"
PBANKA_0103400,2.87002305645094e-08,"glyoxalase I-like protein GILP, putative"
PBANKA_0104000,2.86246604304332e-06,"conserved Plasmodium protein, unknown function"
PBANKA_0104100,3.4368390003459397e-20,"serine/threonine protein kinase, putative"
PBANKA_0104600,3.6536921295549302e-06,"DNA repair protein RAD50, putative"
PBANKA_0104700,1.19281274721994e-10,"long chain polyunsaturated fatty acid elongation enzyme, putative"
PBANKA_0105200,0.000289786250018267,"polypyrimidine tract-binding protein, putative"
PBANKA_0105400,0.00254156975442655,"coatomer alpha subunit, putative"
PBANKA_0105700,5.05920193667425e-07,"MYND-type zinc finger protein, putative"
PBANKA_0107100,6.266507766857679e-17,"proteasome subunit alpha type-2, putative"
PBANKA_0107700,2.01801183311797e-05,zinc transporter ZIP1
PBANKA_0108000,0.0148386519752232,"mitochondrial cardiolipin synthase, putative"
PBANKA_0108100,0.0326212037436399,"conserved Plasmodium protein, unknown function"
PBANKA_0108900,1.72751411514595e-07,"peptidyl-tRNA hydrolase PTRHD1, putative"
PBANKA_0109300,6.021696711886429e-07,"SNARE associated Golgi protein, putative"
PBANKA_0109400,7.48076046650286e-07,"succinate dehydrogenase subunit 3, putative"
PBANKA_0109600,1.05379908188364e-15,"conserved Apicomplexan protein, unknown function"
PBANKA_0111000,0.00418734797182034,6-cysteine protein
PBANKA_0111300,3.18393336533013e-07,"conserved Plasmodium protein, unknown function"
PBANKA_0112100,0.0127754448773812,"AP2 domain transcription factor, putative"
PBANKA_0112200,0.0312249579480385,"myosin E, putative"
PBANKA_0112300,6.1523574188777905e-06,"conserved Plasmodium protein, unknown function"
PBANKA_0112500,4.40418140308377e-05,"major facilitator superfamily-related transporter, putative"
