X__1,FDR,desc
PBANKA_0100800,0.041338514986693005,"zinc finger protein, putative"
PBANKA_0100900,6.475337396556319e-10,"ATP-dependent RNA helicase, putative"
PBANKA_0101200,4.76320674463315e-05,"elongation factor G, putative"
PBANKA_0102100,0.0382173338876702,"dihydroorotate dehydrogenase, putative"
PBANKA_0103400,0.00126451329006932,"glyoxalase I-like protein GILP, putative"
PBANKA_0104000,2.2152972758294603e-09,"conserved Plasmodium protein, unknown function"
PBANKA_0104100,6.14540024289625e-06,"serine/threonine protein kinase, putative"
PBANKA_0104900,0.034800212976769995,"RNA-binding protein, putative"
PBANKA_0105700,0.0362505062342421,"MYND-type zinc finger protein, putative"
PBANKA_0107000,1.29956645084274e-07,"conserved Plasmodium protein, unknown function"
PBANKA_0107300,0.0101967856850649,"T-complex protein 1 subunit zeta, putative"
PBANKA_0107400,0.000136103278708202,"ornithine aminotransferase, putative"
PBANKA_0108300,0.00875326069438123,palmitoyltransferase DHHC2
PBANKA_0109600,7.881036104018821e-05,"conserved Apicomplexan protein, unknown function"
PBANKA_0112300,0.000618686231899882,"conserved Plasmodium protein, unknown function"
PBANKA_0201600,0.000624572237539603,early transcribed membrane protein
PBANKA_0201700,1.69996219007526e-14,"conserved Plasmodium protein, unknown function"
PBANKA_0203000,0.0412359437410228,"chromatin assembly factor 1 protein WD40 domain, putative"
PBANKA_0203300,0.00298345821824312,"DNA-directed RNA polymerase II subunit RPB9, putative"
PBANKA_0204600,8.877037947844051e-72,photosensitized INA-labeled protein PHIL1
PBANKA_0205400,0.0174628154750165,"proteasome subunit beta type-3, putative"
PBANKA_0205900,0.0115150930758357,"lipid/sterol:H+ symporter, putative"
PBANKA_0206500,0.00162324489740453,"ras-related protein Rab-5C, putative"
PBANKA_0206600,0.0071431681133819,"asparagine and aspartate rich protein 2, putative"
PBANKA_0207600,1.6146186649632e-06,"asparagine-rich antigen, putative"
PBANKA_0208800,3.3551440665693402e-06,"ubiquitin carboxyl-terminal hydrolase 1, putative"
PBANKA_0209300,3.613041146470579e-27,actin-related protein
PBANKA_0211500,2.2192907105284902e-10,"proteasome subunit alpha type-5, putative"
PBANKA_0213600,0.00600426381666261,"mRNA (N6-adenosine)-methyltransferase, putative"
PBANKA_0214000,2.28420695331044e-06,"dynein heavy chain, putative"
PBANKA_0214200,0.0341945141487662,"tRNA pseudouridine synthase D, putative"
PBANKA_0301300,1.30008916970102e-06,"conserved Plasmodium protein, unknown function"
PBANKA_0301400,0.0376047851414871,"conserved Plasmodium protein, unknown function"
PBANKA_0301600,5.91298359538759e-13,"conserved Plasmodium protein, unknown function"
PBANKA_0302500,0.00585897520541835,hexose transporter
PBANKA_0303600,0.000863454069791205,"26S proteasome regulatory subunit RPN1, putative"
PBANKA_0306300,0.00642120905414215,"3'exoribonuclease, putative"
PBANKA_0306500,6.26054353877838e-05,"conserved protein, unknown function"
PBANKA_0307100,0.00889736826460868,"conserved Plasmodium protein, unknown function"
PBANKA_0310000,0.000156962328557988,"protein SIS1, putative"
PBANKA_0311400,2.88089734023706e-19,"serine/threonine protein kinase, putative"
PBANKA_0311500,9.516405116873158e-09,"conserved Plasmodium protein, unknown function"
PBANKA_0312000,0.000248454447119766,"conserved Plasmodium protein, unknown function"
PBANKA_0312400,0.00130591146594049,"DNA-directed RNA polymerase II subunit RPB2, putative"
PBANKA_0312500,0.0019014289357239301,"origin recognition complex subunit 5, putative"
PBANKA_0313300,4.60024329283219e-16,MtN3-like protein
PBANKA_0313800,0.006847788055574871,"ATP synthase F1, alpha subunit, putative"
PBANKA_0314700,0.0374628603701016,"replication factor C subunit 2, putative"
PBANKA_0316200,4.98915354632084e-22,"Plasmodium exported protein, unknown function"
PBANKA_0402500,0.00275576924603607,"phosphatidylethanolamine-binding protein, putative"
PBANKA_0402700,2.60466871567807e-32,inner membrane complex protein 1e
PBANKA_0403500,0.00035589406969936,"elongation factor (EF-TS), putative"
PBANKA_0404300,0.0276198192044674,"P-loop containing nucleoside triphosphate hydrolase, putative"
PBANKA_0404400,2.41791258482084e-07,"conserved Plasmodium protein, unknown function"
PBANKA_0404800,0.0122329132754514,"FAD-dependent glycerol-3-phosphate dehydrogenase, putative"
PBANKA_0404900,0.000367673807885656,"conserved Plasmodium protein, unknown function"
PBANKA_0405200,0.0132777789442093,"T-complex protein 1 subunit beta, putative"
PBANKA_0405400,0.000959170361978699,"40S ribosomal protein S12, putative"
PBANKA_0406000,0.00728965494592603,"conserved Plasmodium protein, unknown function"
PBANKA_0407600,7.66770130335571e-14,asparagine synthetase [glutamine-hydrolyzing]
PBANKA_0409000,7.85255701835964e-22,"conserved Plasmodium protein, unknown function"
PBANKA_0409400,1.58949298367045e-05,"protein kinase, putative"
PBANKA_0409700,0.00875326069438123,"plasmepsin VI, putative"
PBANKA_0410400,1.5133427684649597e-07,"glycogen synthase kinase 3, putative"
PBANKA_0411300,0.00269565779966923,"conserved Plasmodium protein, unknown function"
PBANKA_0412400,4.41518762447609e-16,"RING finger protein RNF1, putative"
PBANKA_0412800,0.00112370623066088,"eukaryotic translation initiation factor 4E, putative"
PBANKA_0412900,1.4203715358994698e-15,circumsporozoite- and TRAP-related protein
PBANKA_0414400,1.00991089815589e-06,"formate-nitrite transporter, putative"
PBANKA_0417200,0.000988283451946874,PH domain-containing protein
PBANKA_0417400,0.00022435537481197202,"GTPase-activating protein, putative"
PBANKA_0417600,0.0133453357560615,LCCL domain-containing protein
PBANKA_0417700,1.76218173502818e-11,alpha tubulin 1
PBANKA_0417900,0.0019005260356558399,"conserved Plasmodium protein, unknown function"
PBANKA_0418000,0.0226448750630367,"ATP-dependent RNA helicase DDX60, putative"
PBANKA_0501200,1.6268645042708e-06,early transcribed membrane protein
PBANKA_0501700,0.00203374952157955,"phosphomannomutase, putative"
PBANKA_0504300,5.57035511759125e-05,"flagellar outer arm dynein-associated protein, putative"
PBANKA_0505000,3.81111643199336e-07,"dihydrolipoamide acyltransferase, putative"
PBANKA_0506200,0.0012985817008011199,"RNA-binding protein, putative"
PBANKA_0506500,0.00342498409481148,ZIP domain-containing protein
PBANKA_0506600,0.0073924260161831,"serine/arginine-rich splicing factor 4, putative"
PBANKA_0506900,0.00232021946353885,"phospholipid scramblase, putative"
PBANKA_0507600,0.0427188624346404,"HORMA domain protein, putative"
PBANKA_0509300,6.77526205451562e-20,"glutamine--fructose-6-phosphate aminotransferase [isomerizing], putative"
PBANKA_0511000,0.01926744202184,biotin--protein ligase 1
PBANKA_0511500,0.0139615720650657,"DNA-directed RNA polymerase II subunit RPB7, putative"
PBANKA_0511900,6.783347770251079e-09,"60S ribosomal protein L3, putative"
PBANKA_0512000,0.000504306800422556,palmitoyltransferase DHHC10
PBANKA_0512800,0.00048579473166997597,merozoite TRAP-like protein
PBANKA_0513800,0.000141759975398177,"RAP protein, putative"
PBANKA_0514200,0.0058191490114337,"claudin-like apicomplexan microneme protein, putative"
PBANKA_0515000,1.9477053205015e-19,ookinete surface protein P25
PBANKA_0515200,0.0133453357560615,"MORN repeat-containing protein 1, putative"
PBANKA_0516200,0.0055068079399542,"phosphatidylinositol N-acetylglucosaminyltransferase subunit A, putative"
PBANKA_0516900,2.18938983482625e-06,"S-adenosylmethionine decarboxylase/ornithine decarboxylase, putative"
PBANKA_0517000,5.42795206296494e-06,early transcribed membrane protein
PBANKA_0517400,0.00565794029905302,"pre-mRNA-splicing factor CEF1, putative"
PBANKA_0517600,4.4954698721595004e-05,plasmepsin VII
PBANKA_0517700,0.0367907982577869,"ubiquitin-conjugating enzyme E2, putative"
PBANKA_0517900,0.00482576309735492,"conserved Plasmodium protein, unknown function"
PBANKA_0518100,1.04723889813537e-05,"thioredoxin-like associated protein 2, putative"
PBANKA_0518200,0.000135150771881313,"flavoprotein subunit of succinate dehydrogenase, putative"
PBANKA_0519000,1.3803808034866003e-08,"S-antigen, putative"
PBANKA_0519200,0.0284830945092081,"conserved Plasmodium protein, unknown function"
PBANKA_0519800,0.00913503959829694,"acetyl-CoA transporter, putative"
PBANKA_0520200,0.00221719914731533,"ADP/ATP transporter on adenylate translocase, putative"
PBANKA_0520900,2.3296847524165e-07,"antigen UB05, putative"
PBANKA_0521241,0.000640161149616145,5.8S ribosomal RNA
PBANKA_0522400,0.00419458039832631,"steroid dehydrogenase, putative"
PBANKA_0522700,4.15770757884448e-08,alpha tubulin 2
PBANKA_0523900,2.33574816667632e-22,"glideosome associated protein with multiple membrane spans 2, putative"
PBANKA_0524300,0.00603354931516732,tryptophan-rich protein
PBANKA_0524700,0.0325283163576441,"Plasmodium exported protein, unknown function"
PBANKA_0524800,1.32022769950906e-05,early transcribed membrane protein
PBANKA_0601100,1.51387352693383e-06,"mitochondrial phosphate carrier protein, putative"
PBANKA_0601300,0.000803304470920587,"peptidyl-prolyl cis-trans isomerase, putative"
PBANKA_0602400,0.0476071394259651,"major facilitator superfamily domain-containing protein, putative"
PBANKA_0602600,8.03647480734279e-05,cytochrome c1 heme lyase
PBANKA_0602700,1.30008916970102e-06,"nucleosome assembly protein, putative"
PBANKA_0603200,0.00126109768790295,"eukaryotic translation initiation factor 5A, putative"
PBANKA_0605900,0.00336306866849181,"conserved Plasmodium protein, unknown function"
PBANKA_0606200,1.1666035031567499e-06,"blood stage antigen 41-3 precursor, putative"
PBANKA_0606600,0.000498433115728593,"conserved Plasmodium protein, unknown function"
PBANKA_0608600,2.72295778883946e-23,"zinc finger protein, putative"
PBANKA_0609600,1.07671838100137e-06,"heat shock protein 20, putative"
PBANKA_0609900,0.0007920999414253161,"heat shock protein DNAJ homologue Pfj4, putative"
PBANKA_0610200,0.00100413119725572,"DNA replication licensing factor MCM5, putative"
PBANKA_0610400,6.167195004643951e-05,"non-SERCA-type Ca2+ -transporting P-ATPase, putative"
PBANKA_0611600,0.00744998940646534,"ribonucleoside-diphosphate reductase large subunit, putative"
PBANKA_0612400,0.000420341778323313,"conserved Plasmodium protein, unknown function"
PBANKA_0613400,0.0396183407547998,"30S ribosomal protein S12, mitochondrial, putative"
PBANKA_0613800,3.1508753403764096e-05,"protein SDA1, putative"
PBANKA_0613900,0.0115858958411092,"PDCD2 domain-containing protein, putative"
PBANKA_0615500,0.0127880364490629,"conserved Plasmodium protein, unknown function"
PBANKA_0615600,0.0159724900436525,thioredoxin-like protein
PBANKA_0616200,2.5821712618578996e-22,"conserved Plasmodium protein, unknown function"
PBANKA_0616400,1.81452035051292e-22,"conserved Plasmodium protein, unknown function"
PBANKA_0616700,0.0294337695313354,NIMA related kinase 4
PBANKA_0618100,0.00286818369130415,"conserved Plasmodium protein, unknown function"
PBANKA_0619100,2.68012849467907e-06,"40S ribosomal protein S5, putative"
PBANKA_0619200,8.940229172780678e-67,"secreted ookinete protein, putative"
PBANKA_0620500,2.9091655452276398e-05,"tRNAHis guanylyltransferase, putative"
PBANKA_0620700,0.005339124564930121,"conserved Plasmodium protein, unknown function"
PBANKA_0622300,0.000125527662096107,"kelch domain-containing protein, putative"
PBANKA_0622400,0.0423429444072387,"kinesin-19, putative"
PBANKA_0622921,0.000322783052059735,18S ribosomal RNA
PBANKA_0622941,0.00019469842692565201,5.8S ribosomal RNA
PBANKA_0622961,1.33582130718689e-09,28S ribosomal RNA
PBANKA_0623000,0.0305865938530053,"Plasmodium exported protein, unknown function"
PBANKA_0623100,0.0026884063063424397,tryptophan-rich protein
PBANKA_0623400,5.87194605288015e-05,fam-a protein
PBANKA_0623500,0.020023542075067003,fam-a protein
PBANKA_0701200,0.0124509448600909,"conserved Plasmodium protein, unknown function"
PBANKA_0701500,0.0400627983053278,"prohibitin, putative"
PBANKA_0702500,6.92049421660851e-08,"leucine--tRNA ligase, putative"
PBANKA_0702800,1.33582130718689e-09,protein disulfide isomerase
PBANKA_0702900,0.000371995612094478,"SET domain protein, putative"
PBANKA_0703900,4.886720827544199e-19,"receptor for activated c kinase, putative"
PBANKA_0706500,9.325817627815458e-05,"exonuclease, putative"
PBANKA_0706600,1.35336701675203e-39,"conserved Plasmodium protein, unknown function"
PBANKA_0706700,6.0369232417186704e-15,"dicarboxylate/tricarboxylate carrier, putative"
PBANKA_0707100,4.31328786470472e-72,inner membrane complex protein 1i
PBANKA_0707300,0.0011320112935179199,"histone acetyltransferase GCN5, putative"
PBANKA_0710100,3.3002372458646694e-11,"2-oxoglutarate dehydrogenase E1 component, putative"
PBANKA_0711400,1.0171460777038699e-39,perforin-like protein 4
PBANKA_0711600,8.93693868251741e-31,perforin-like protein 5
PBANKA_0711900,6.14540024289625e-06,heat shock protein 70
PBANKA_0712600,0.00642120905414215,14-3-3 protein
PBANKA_0714000,3.31583849252617e-10,meiotic recombination protein DMC1
PBANKA_0714200,0.0455302076195216,"chaperone protein ClpB1, putative"
PBANKA_0714300,7.76191114567091e-37,small heat shock protein HSP20
PBANKA_0714800,0.0019329032378318399,"ribosome assembly protein RRB1, putative"
PBANKA_0716800,0.0044775393328850294,"conserved Plasmodium protein, unknown function"
PBANKA_0716900,0.0389682333925133,"armadillo-domain containing rhoptry protein, putative"
PBANKA_0717500,0.000575570147009321,"nuclear cap-binding protein subunit 2, putative"
PBANKA_0718300,6.47745416433137e-12,"DNA helicase MCM9, putative"
PBANKA_0718800,0.000679785779962915,"small GTP-binding protein sar1, putative"
PBANKA_0720900,0.0001615980828752,"MOLO1 domain-containing protein, putative"
