X__1,FDR,desc
PBANKA_0100700,7.51872444158408e-05,"Plasmodium exported protein, unknown function"
PBANKA_0205000,0.00100439508496533,"conserved Plasmodium protein, unknown function"
PBANKA_0209300,0.0329577157266862,actin-related protein
PBANKA_0211500,0.00011257739708935901,"proteasome subunit alpha type-5, putative"
PBANKA_0212100,0.0408670384670173,eukaryotic translation initiation factor 2 subunit alpha
PBANKA_0306800,0.0104310414043057,"ATP-dependent RNA helicase UAP56, putative"
PBANKA_0311800,4.8407925777544895e-05,"acyl-CoA synthetase, putative"
PBANKA_0312400,0.0349617041950699,"DNA-directed RNA polymerase II subunit RPB2, putative"
PBANKA_0314500,0.00290774192150919,"40S ribosomal protein S26, putative"
PBANKA_0316200,7.83795771056813e-12,"Plasmodium exported protein, unknown function"
PBANKA_0404200,0.0031129057664092603,"ubiquitin-conjugating enzyme E2, putative"
PBANKA_0405200,0.0373239192308767,"T-complex protein 1 subunit beta, putative"
PBANKA_0406500,0.00136147334226961,"T-complex protein 1 subunit eta, putative"
PBANKA_0502700,0.0122283573482171,"pre-mRNA-splicing factor RDS3, putative"
PBANKA_0508100,0.00212642641059395,"chromodomain-helicase-DNA-binding protein 1, putative"
PBANKA_0511900,7.67403981488279e-08,"60S ribosomal protein L3, putative"
PBANKA_0514000,0.0180360062916239,"transcription elongation factor SPT4, putative"
PBANKA_0521241,0.00357764825762091,5.8S ribosomal RNA
PBANKA_0522700,0.007351858260935841,alpha tubulin 2
PBANKA_0604300,2.6720205141914603e-05,"tetratricopeptide repeat protein, putative"
PBANKA_0610400,0.000648095348050182,"non-SERCA-type Ca2+ -transporting P-ATPase, putative"
PBANKA_0617100,0.0486598205474805,"60S ribosomal protein L11a, putative"
PBANKA_0619100,0.000845627663622168,"40S ribosomal protein S5, putative"
PBANKA_0619300,0.0408670384670173,"conserved Plasmodium protein, unknown function"
PBANKA_0623300,4.191486897191379e-09,tryptophan-rich protein
PBANKA_0623500,0.00397802902436105,fam-a protein
PBANKA_0701000,0.00605988052552374,"sporozoite and liver stage tryptophan-rich protein, pseudogene"
PBANKA_0703900,2.7401410818339504e-08,"receptor for activated c kinase, putative"
PBANKA_0711900,0.0007248512321843281,heat shock protein 70
