X__1,FDR,desc
PBANKA_0100400,1.9864283608189102e-27,"reticulocyte binding protein, putative"
PBANKA_0100500,4.05562051955844e-07,PIR protein
PBANKA_0100700,4.780368847969329e-113,"Plasmodium exported protein, unknown function"
PBANKA_0100900,2.74605316420981e-14,"ATP-dependent RNA helicase, putative"
PBANKA_0102900,0.000342419622384325,"AP2 domain transcription factor, putative"
PBANKA_0107400,1.14913615800991e-09,"ornithine aminotransferase, putative"
PBANKA_0107700,0.000285601087795692,zinc transporter ZIP1
PBANKA_0108800,7.85705859506471e-13,"histone H3, putative"
PBANKA_0110500,9.55830880463365e-06,leucine-rich repeat protein
PBANKA_0111000,1.2150772141631599e-21,6-cysteine protein
PBANKA_0112100,0.0135194857763676,"AP2 domain transcription factor, putative"
PBANKA_0112200,3.1806099526904196e-44,"myosin E, putative"
PBANKA_0112500,2.8071829551263e-09,"major facilitator superfamily-related transporter, putative"
PBANKA_0200400,1.4506473689267497e-29,"Plasmodium exported protein, unknown function"
PBANKA_0201250,3.2757823571314003e-10,"PIR protein, pseudogene"
PBANKA_0201300,1.63957377397648e-19,"lysophospholipase, putative"
PBANKA_0201500,8.977211119211208e-19,"Plasmodium exported protein, unknown function"
PBANKA_0204600,2.76421313370864e-89,photosensitized INA-labeled protein PHIL1
PBANKA_0205000,7.16265888666158e-36,"conserved Plasmodium protein, unknown function"
PBANKA_0205900,0.006249687317024999,"lipid/sterol:H+ symporter, putative"
PBANKA_0208900,2.8949968070348805e-05,"StAR-related lipid transfer protein, putative"
PBANKA_0213400,0.0169069099289393,"60S ribosomal export protein NMD3, putative"
PBANKA_0214400,5.24933635210038e-31,AP2 domain transcription factor AP2-L
PBANKA_0214600,7.192705349955e-29,"Plasmodium exported protein, unknown function"
PBANKA_0214800,4.61978700651528e-08,"heat shock protein, putative"
PBANKA_0214900,0.0087161735534639,fam-a protein
PBANKA_0216761,1.98671282760397e-17,"reticulocyte binding protein, putative"
PBANKA_0216801,8.06474919685264e-07,"reticulocyte binding protein, putative"
PBANKA_0300600,2.5946414789195995e-53,"Plasmodium exported protein, unknown function"
PBANKA_0304400,0.00107413107833903,merozoite surface protein 4/5
PBANKA_0304500,0.003999703645766571,"conserved Plasmodium protein, unknown function"
PBANKA_0304800,1.9768941484708e-05,serine repeat antigen 4
PBANKA_0305000,1.2973030257763397e-58,serine repeat antigen 2
PBANKA_0305100,1.1011721790927497e-50,serine repeat antigen 1
PBANKA_0307500,6.84018907979758e-10,"conserved Plasmodium protein, unknown function"
PBANKA_0309500,2.2382666510748698e-33,"secreted protein with altered thrombospondin repeat domain, putative"
PBANKA_0311400,1.6647409843062198e-09,"serine/threonine protein kinase, putative"
PBANKA_0311500,7.41074321038056e-06,"conserved Plasmodium protein, unknown function"
PBANKA_0311700,3.6671902350961795e-07,"rhoptry neck protein 6, putative"
PBANKA_0311800,9.8131012184855e-33,"acyl-CoA synthetase, putative"
PBANKA_0312400,0.0245058386361016,"DNA-directed RNA polymerase II subunit RPB2, putative"
PBANKA_0313300,0.00270444325179231,MtN3-like protein
PBANKA_0313400,3.28778293048932e-09,"autophagy-related protein 11, putative"
PBANKA_0314200,1.7916928503434697e-17,calcium-dependent protein kinase 1
PBANKA_0314500,0.00897427734907018,"40S ribosomal protein S26, putative"
PBANKA_0316200,5.8081187564857386e-142,"Plasmodium exported protein, unknown function"
PBANKA_0316300,8.02138892869032e-05,fam-b protein
PBANKA_0316500,1.76416284492844e-10,"fam-a protein, pseudogene"
PBANKA_0317061,0.000246509026610559,fam-a protein
PBANKA_0317161,2.10243655527171e-16,erythrocyte membrane antigen 1
PBANKA_0402700,2.40702813352946e-16,inner membrane complex protein 1e
PBANKA_0402800,2.78467335707657e-26,"EH domain-containing protein, putative"
PBANKA_0404800,5.632117301187589e-07,"FAD-dependent glycerol-3-phosphate dehydrogenase, putative"
PBANKA_0405400,1.7143079089550303e-05,"40S ribosomal protein S12, putative"
PBANKA_0405500,1.67306950558669e-10,"60S ribosomal protein L7, putative"
PBANKA_0406000,0.00182060958697301,"conserved Plasmodium protein, unknown function"
PBANKA_0406600,1.8791836185242198e-06,"conserved Plasmodium protein, unknown function"
PBANKA_0414600,0.0136654817865304,"40S ribosomal protein S15A, putative"
PBANKA_0416000,2.21216461806879e-07,"high molecular weight rhoptry protein 3, putative"
PBANKA_0417500,4.25938035462263e-14,"60S ribosomal protein L32, putative"
PBANKA_0417700,1.51673598143857e-17,alpha tubulin 1
PBANKA_0417800,3.7953082599768605e-05,"conserved Plasmodium protein, unknown function"
PBANKA_0418500,6.6488198190129284e-52,"Plasmodium exported protein, unknown function"
PBANKA_0501400,8.70178123081597e-28,"rhoptry neck protein 12, putative"
PBANKA_0501800,1.5726498529735198e-79,"myosin essential light chain ELC, putative"
PBANKA_0502500,0.000113411070880806,serine/threonine protein phosphatase 8
PBANKA_0503600,0.00561632826788031,"60S ribosomal protein L30e, putative"
PBANKA_0505100,0.000637367394564433,"ADP-ribosylation factor, putative"
PBANKA_0505900,8.6904685696244e-05,"conserved Plasmodium protein, unknown function"
PBANKA_0506200,0.009993069151153859,"RNA-binding protein, putative"
PBANKA_0506900,9.84111917522638e-06,"phospholipid scramblase, putative"
PBANKA_0509000,0.0212752093910137,"exported protein 3, putative"
PBANKA_0510800,2.36929405287079e-08,"conserved Plasmodium protein, unknown function"
PBANKA_0510900,5.81994819987152e-13,"40S ribosomal protein S2, putative"
PBANKA_0511400,1.1805072980338902e-09,"peroxiredoxin, putative"
PBANKA_0511900,1.4361371621619499e-12,"60S ribosomal protein L3, putative"
PBANKA_0512800,1.8371450245669498e-74,merozoite TRAP-like protein
PBANKA_0513900,0.00256344523918565,"conserved Plasmodium protein, unknown function"
PBANKA_0514200,1.1206669207381599e-13,"claudin-like apicomplexan microneme protein, putative"
PBANKA_0515200,1.25463869315328e-23,"MORN repeat-containing protein 1, putative"
PBANKA_0516900,2.13710807920348e-14,"S-adenosylmethionine decarboxylase/ornithine decarboxylase, putative"
PBANKA_0517000,1.28324518272229e-35,early transcribed membrane protein
