X__1,FDR,desc
PBANKA_0100500,0.00296164025311334,PIR protein
PBANKA_0100900,0.0205513198329506,"ATP-dependent RNA helicase, putative"
PBANKA_0104100,0.000330668460147927,"serine/threonine protein kinase, putative"
PBANKA_0106600,0.00264312210820426,"diphthine methyltransferase, putative"
PBANKA_0107400,1.1175901666044099e-05,"ornithine aminotransferase, putative"
PBANKA_0107700,0.0472249362877001,zinc transporter ZIP1
PBANKA_0110500,0.00847374902620471,leucine-rich repeat protein
PBANKA_0112100,0.00697382319684455,"AP2 domain transcription factor, putative"
PBANKA_0200400,0.00264312210820426,"Plasmodium exported protein, unknown function"
PBANKA_0209300,0.0015737552107026901,actin-related protein
PBANKA_0211500,0.000912852613383958,"proteasome subunit alpha type-5, putative"
PBANKA_0212700,0.0244678879719416,"RING zinc finger protein, putative"
PBANKA_0213200,0.0333712793490929,"conserved Plasmodium protein, unknown function"
PBANKA_0214000,0.00303963365193011,"dynein heavy chain, putative"
PBANKA_0214600,0.0244971054679144,"Plasmodium exported protein, unknown function"
PBANKA_0216000,0.000795500309303134,PIR protein
PBANKA_0216781,0.00013481989362420501,fam-a protein
PBANKA_0300100,0.00010148179367475301,PIR protein
PBANKA_0305000,1.89123789141019e-15,serine repeat antigen 2
PBANKA_0306300,0.0143880927464337,"3'exoribonuclease, putative"
PBANKA_0306500,0.0186948588691346,"conserved protein, unknown function"
PBANKA_0306700,0.0105270524584962,"transporter, putative"
PBANKA_0316800,2.6399679479808e-06,erythrocyte membrane associated protein 2
PBANKA_0317121,0.0221799931590624,"fam-a protein, pseudogene"
PBANKA_0400500,2.6736175987508e-06,PIR protein
PBANKA_0401100,0.0295039613922114,"serine/threonine protein kinase, putative"
PBANKA_0405200,0.000160520836330502,"T-complex protein 1 subunit beta, putative"
PBANKA_0406500,0.0035081387771596,"T-complex protein 1 subunit eta, putative"
PBANKA_0407600,4.3096643739717395e-07,asparagine synthetase [glutamine-hydrolyzing]
PBANKA_0412800,0.0019373232045278399,"eukaryotic translation initiation factor 4E, putative"
PBANKA_0416300,6.8548096603454004e-06,"nucleoporin NUP100/NSP100, putative"
PBANKA_0418500,0.0005205996617754809,"Plasmodium exported protein, unknown function"
PBANKA_0501700,0.00947795548436039,"phosphomannomutase, putative"
PBANKA_0504500,0.00100991984069422,"cytoplasmic dynein intermediate chain, putative"
PBANKA_0506500,0.0210166673658501,ZIP domain-containing protein
PBANKA_0506700,0.000912852613383958,"citrate synthase, mitochondrial, putative"
PBANKA_0510900,2.00643379869705e-07,"40S ribosomal protein S2, putative"
PBANKA_0513600,0.0116491054685293,"adenosine deaminase, putative"
PBANKA_0516200,0.0479545001990255,"phosphatidylinositol N-acetylglucosaminyltransferase subunit A, putative"
PBANKA_0517000,0.0203329347217046,early transcribed membrane protein
PBANKA_0517100,0.0254074506067561,"conserved Plasmodium protein, unknown function"
PBANKA_0517700,0.004773484442898161,"ubiquitin-conjugating enzyme E2, putative"
PBANKA_0518200,3.73403603873745e-10,"flavoprotein subunit of succinate dehydrogenase, putative"
PBANKA_0519000,1.51922393953868e-12,"S-antigen, putative"
PBANKA_0519100,4.95488022648599e-08,"conserved Plasmodium protein, unknown function"
