X__1,FDR,desc
PBANKA_0100900,0.0275354578343047,"ATP-dependent RNA helicase, putative"
PBANKA_0104000,0.00519965039435051,"conserved Plasmodium protein, unknown function"
PBANKA_0107400,2.91436271020603e-09,"ornithine aminotransferase, putative"
PBANKA_0108800,0.0116784203509994,"histone H3, putative"
PBANKA_0112500,0.0359713396701649,"major facilitator superfamily-related transporter, putative"
PBANKA_0206100,0.0442999085281625,"carbon catabolite repressor protein 4, putative"
PBANKA_0214200,0.0303676346540361,"tRNA pseudouridine synthase D, putative"
PBANKA_0306800,0.0343078731642156,"ATP-dependent RNA helicase UAP56, putative"
PBANKA_0310600,0.0318847092071523,"conserved protein, unknown function"
PBANKA_0310900,0.0182448906689328,"T-complex protein 1 subunit theta, putative"
PBANKA_0311900,0.006720139370816529,"RING zinc finger protein, putative"
PBANKA_0312400,0.023550524421453,"DNA-directed RNA polymerase II subunit RPB2, putative"
PBANKA_0314200,0.0182031386892797,calcium-dependent protein kinase 1
PBANKA_0404800,0.00037674846685753797,"FAD-dependent glycerol-3-phosphate dehydrogenase, putative"
PBANKA_0414400,0.0384121541588762,"formate-nitrite transporter, putative"
PBANKA_0414600,0.0254589417782447,"40S ribosomal protein S15A, putative"
PBANKA_0415700,0.0067733132935961105,"autophagy-related protein 3, putative"
PBANKA_0417100,0.0156312364097754,"conserved protein, unknown function"
PBANKA_0417400,0.00923467296897895,"GTPase-activating protein, putative"
PBANKA_0417900,0.0246476089937757,"conserved Plasmodium protein, unknown function"
PBANKA_0501700,0.00405342264159086,"phosphomannomutase, putative"
PBANKA_0501800,0.000603714080232647,"myosin essential light chain ELC, putative"
PBANKA_0506500,7.00377477746079e-05,ZIP domain-containing protein
PBANKA_0506900,1.73236867008585e-05,"phospholipid scramblase, putative"
PBANKA_0507300,0.030856856437042997,"dynein heavy chain, putative"
PBANKA_0508400,0.0454306917619927,"RNA-binding protein, putative"
PBANKA_0513000,0.000139073430661058,"inner membrane complex protein 1m, putative"
PBANKA_0515000,8.12247312308479e-12,ookinete surface protein P25
PBANKA_0523900,0.0109384729989262,"glideosome associated protein with multiple membrane spans 2, putative"
PBANKA_0604600,0.00849588748016134,"conserved protein, unknown function"
PBANKA_0606300,0.0381484656249964,"conserved Plasmodium protein, unknown function"
PBANKA_0610200,0.0332196992069136,"DNA replication licensing factor MCM5, putative"
PBANKA_0610400,0.0340472179285477,"non-SERCA-type Ca2+ -transporting P-ATPase, putative"
PBANKA_0617200,0.0182448906689328,"40S ribosomal protein S10, putative"
PBANKA_0620700,0.0337569637554124,"conserved Plasmodium protein, unknown function"
PBANKA_0623000,0.00998070732079958,"Plasmodium exported protein, unknown function"
PBANKA_0701800,0.0375922608767894,"conserved Plasmodium protein, unknown function"
PBANKA_0713100,0.0116784203509994,"rhoptry neck protein 5, putative"
PBANKA_0714300,4.5325855666342106e-07,small heat shock protein HSP20
PBANKA_0717800,0.0123171756797424,"60S ribosomal protein L15, putative"
PBANKA_0718800,0.023550524421453,"small GTP-binding protein sar1, putative"
PBANKA_0803100,0.00212554650912378,"DNA replication licensing factor MCM7, putative"
PBANKA_0806600,0.0384121541588762,"cleavage and polyadenylation specificity factor, putative"
PBANKA_0816800,0.007451377317423,"glycolipid transfer protein, putative"
PBANKA_0817300,0.0275354578343047,"conserved Plasmodium protein, unknown function"
PBANKA_0821400,0.0067733132935961105,"ADP-ribosylation factor, putative"
PBANKA_0821900,2.75927160784909e-07,"ubiquitin-conjugating enzyme E2, putative"
PBANKA_0826400,0.0124134527947753,"zinc binding protein (Yippee), putative"
PBANKA_0826500,7.017607091614719e-08,"histone deacetylase 1, putative"
PBANKA_0905600,0.023550524421453,"translation initiation factor eIF-1A, putative"
PBANKA_0907800,2.7736821751452502e-05,"conserved Apicomplexan protein, unknown function"
PBANKA_0908600,0.0116784203509994,"conserved Plasmodium protein, unknown function"
PBANKA_0911650,0.0067733132935961105,U2 spliceosomal RNA
PBANKA_0915600,1.31012295561234e-06,aquaglyceroporin
PBANKA_0928800,0.0316486525982843,"splicing factor U2AF small subunit, putative"
PBANKA_0930300,0.0391756503776156,"GTP-binding nuclear protein RAN/TC4, putative"
PBANKA_0933200,6.81280110434768e-07,"conserved Plasmodium protein, unknown function"
PBANKA_0933500,0.0067733132935961105,rhomboid protease ROM1
PBANKA_0934200,0.00405342264159086,"ubiquitin domain-containing protein DSK2, putative"
PBANKA_0937500,0.0381484656249964,"conserved Plasmodium protein, unknown function"
PBANKA_0941800,0.0013146747330878,"histone H2B, putative"
PBANKA_1000700,0.00405342264159086,"regulator of chromosome condensation, putative"
PBANKA_1006900,0.0275291587393977,"conserved Plasmodium protein, unknown function"
PBANKA_1007000,4.4099274720502e-06,"chaperone protein DnaJ, putative"
PBANKA_1007700,0.0118278310991264,protein phosphatase PPM1
PBANKA_1008000,7.67004456086346e-07,"conserved Plasmodium protein, unknown function"
PBANKA_1009500,0.0067733132935961105,"NAD(P)H-dependent glutamate synthase, putative"
PBANKA_1010000,0.0011227218061822099,"mitochondrial acidic protein MAM33, putative"
PBANKA_1015400,0.00105395861789485,CPW-WPC family protein
PBANKA_1024700,7.017607091614719e-08,"ubiquitin fusion degradation protein 1, putative"
PBANKA_1028300,0.0454306917619927,serine/threonine protein phosphatase PP1
PBANKA_1033100,0.0303676346540361,"conserved Plasmodium protein, unknown function"
PBANKA_1033800,0.00344175786257951,"conserved protein, unknown function"
PBANKA_1034500,0.00017144467918775902,"conserved Plasmodium protein, unknown function"
PBANKA_1103400,0.036274914876569996,"60S ribosomal protein L31, putative"
PBANKA_1104500,0.00871516552165172,"conserved protein, unknown function"
PBANKA_1105500,8.86736650699105e-05,"conserved Plasmodium protein, unknown function"
PBANKA_1109000,0.007451377317423,"RNA polymerase I, putative"
PBANKA_1110100,0.0479207042607519,"topoisomerase I, putative"
PBANKA_1117700,9.50300263836773e-05,"malate dehydrogenase, putative"
PBANKA_1125100,0.00331900764072717,"3-oxoacyl-acyl-carrier protein synthase, putative"
PBANKA_1125500,0.0143195504978927,"ATPase, putative"
PBANKA_1125600,0.007870396411892671,"pyruvate kinase, putative"
PBANKA_1132900,2.05198955345243e-05,"regulator of chromosome condensation, putative"
PBANKA_1133800,0.0382915168861164,"DNA helicase, putative"
PBANKA_1134100,0.0111531304964634,"T-complex protein 1 subunit delta, putative"
PBANKA_1136700,0.007451377317423,guanylyl cyclase beta
PBANKA_1144800,0.0338410965364014,"conserved Plasmodium protein, unknown function"
PBANKA_1201900,0.000357479621887508,"40S ribosomal protein S20e, putative"
PBANKA_1208400,0.00911010163563235,"ribosomal protein L43, mitochondrial, putative"
PBANKA_1209900,0.00212554650912378,"conserved Plasmodium protein, unknown function"
PBANKA_1213100,0.00083562891450987,"prohibitin, putative"
PBANKA_1214300,7.00377477746079e-05,"enolase, putative"
PBANKA_1216600,0.0156312364097754,"cyclic amine resistance locus protein, putative"
PBANKA_1222800,0.0391756503776156,"tyrosine--tRNA ligase, putative"
PBANKA_1231700,0.00017144467918775902,"60S ribosomal protein L2, putative"
PBANKA_1234000,0.000991583033129857,"V-type proton ATPase 16 kDa proteolipid subunit, putative"
PBANKA_1237000,0.0011227218061822099,"18S rRNA (guanine-N(7))-methyltransferase, putative"
PBANKA_1238100,0.0275354578343047,"conserved Plasmodium protein, unknown function"
PBANKA_1302400,0.0434000568991602,"cleavage and polyadenylation specificity factor subunit 3, putative"
PBANKA_1303600,0.0182031386892797,"leucine carboxyl methyltransferase, putative"
PBANKA_1306800,0.0275354578343047,"protein transport protein SEC7, putative"
PBANKA_1308900,0.00871516552165172,"histidine--tRNA ligase, putative"
PBANKA_1310800,0.0456639436355769,"40S ribosomal protein S5, putative"
PBANKA_1314300,0.00159999991867244,"S-adenosylmethionine-dependent methyltransferase, putative"
PBANKA_1315500,0.00212554650912378,"sortilin, putative"
PBANKA_1317200,0.0234555607898894,"NAD(P) transhydrogenase, putative"
PBANKA_1317600,0.023550524421453,"conserved Plasmodium protein, unknown function"
PBANKA_1323400,7.54279350741022e-08,"bax inhibitor 1, putative"
PBANKA_1325100,0.0067733132935961105,"conserved Plasmodium protein, unknown function"
PBANKA_1329300,3.56315133380121e-06,"40S ribosomal protein S3, putative"
PBANKA_1329700,0.0492601569665043,"26S proteasome regulatory subunit RPN2, putative"
PBANKA_1330100,0.0431673969988791,"60S ribosome subunit biogenesis protein NIP7, putative"
PBANKA_1333600,0.0156312364097754,"mitochondrial pyruvate carrier protein 2, putative"
PBANKA_1340100,0.00017144467918775902,L-lactate dehydrogenase
PBANKA_1344400,0.0464738081857438,"AMP deaminase, putative"
PBANKA_1346300,0.0470289836045773,CPW-WPC family protein
PBANKA_1351800,0.0384121541588762,"26S proteasome regulatory subunit RPN3, putative"
PBANKA_1352500,0.00938038628182343,CPW-WPC family protein
PBANKA_1353800,0.00164981337232235,"conserved Plasmodium protein, unknown function"
PBANKA_1354300,0.02474899325692,"sodium-dependent phosphate transporter, putative"
PBANKA_1355800,0.00849588748016134,"DNA-directed RNA polymerases I, II, and III subunit RPABC4, putative"
PBANKA_1357800,0.0316486525982843,"conserved Plasmodium protein, unknown function"
PBANKA_1359200,0.00871258595070409,"DNA/RNA-binding protein Alba 2, putative"
PBANKA_1359300,0.0015112348020594,"conserved Plasmodium protein, unknown function"
PBANKA_1362500,0.0067733132935961105,"peptidase, putative"
PBANKA_1364200,0.00604319463239739,"60S ribosomal protein L17, putative"
PBANKA_1403500,0.0138320211862828,"MCL1 domain-containing protein, putative"
PBANKA_1404700,0.0142993170897282,"conserved Plasmodium protein, unknown function"
PBANKA_1405400,0.0170313589204747,"U1 small nuclear ribonucleoprotein A, putative"
PBANKA_1410000,3.6952272706766897e-07,"26S protease regulatory subunit 7, putative"
PBANKA_1411100,0.00284605972344625,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"
PBANKA_1413400,0.00985860600413228,"general transcription factor IIH subunit 2, putative"
PBANKA_1414100,0.00405342264159086,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase, putative"
PBANKA_1422700,0.0251723875914296,"superoxide dismutase [Fe], putative"
PBANKA_1422900,0.0022456665066870004,"conserved Plasmodium protein, unknown function"
PBANKA_1427000,0.0129235514639966,protein phosphatase PPM7
PBANKA_1430400,6.625706727504731e-05,"adrenodoxin-type ferredoxin, putative"
PBANKA_1432700,0.00640565580615082,"meiotic recombination protein SPO11, putative"
PBANKA_1433000,0.0454306917619927,"conserved Plasmodium protein, unknown function"
PBANKA_1433600,0.0454306917619927,thrombospondin-related apical membrane protein
PBANKA_1434200,0.0143321671301362,"arginine--tRNA ligase, putative"
PBANKA_1436400,0.0123082191675063,"conserved Plasmodium protein, unknown function"
PBANKA_1437300,0.0337569637554124,"endoplasmin, putative"
PBANKA_1437600,0.0347349151617931,"glideosome-associated protein 45, putative"
PBANKA_1442500,0.019769016926194,"elongator complex protein 3, putative"
PBANKA_1443000,0.0275354578343047,"NIMA related kinase 1, putative"
PBANKA_1445000,0.0182031386892797,"subpellicular microtubule protein 2, putative"
PBANKA_1445300,0.0102785720925117,"sun-family protein, putative"
PBANKA_1456700,0.0436281894970916,"conserved Plasmodium protein, unknown function"
PBANKA_1459300,6.7503557265579596e-06,actin I
PBANKA_1462000,0.0143217860176327,"conserved Plasmodium protein, unknown function"
PBANKA_MIT01800,0.0105186999018171,cytochrome c oxidase subunit I
