X__1,FDR,desc
PBANKA_0001001,0.000200584919513179,PIR protein
PBANKA_0100500,0.00337578263132671,PIR protein
PBANKA_0102600,0.0261792572103135,"centrosomal protein CEP76, putative"
PBANKA_0105000,2.7446520581316e-05,"ubiquitin-conjugating enzyme E2 PEX4, putative"
PBANKA_0107300,0.0313827728810292,"T-complex protein 1 subunit zeta, putative"
PBANKA_0107400,0.00124990899479794,"ornithine aminotransferase, putative"
PBANKA_0108300,0.00337578263132671,palmitoyltransferase DHHC2
PBANKA_0204600,0.0261792572103135,photosensitized INA-labeled protein PHIL1
PBANKA_0213600,0.0482450000895813,"mRNA (N6-adenosine)-methyltransferase, putative"
PBANKA_0214400,0.0036574742269079204,AP2 domain transcription factor AP2-L
PBANKA_0214500,0.00496680902129676,"IMP1-like protein, putative"
PBANKA_0302500,0.000200584919513179,hexose transporter
PBANKA_0304900,0.00210790824270673,serine repeat antigen 3
PBANKA_0306500,0.0374439143988306,"conserved protein, unknown function"
PBANKA_0307200,0.00268583077102351,"monocarboxylate transporter, putative"
PBANKA_0310000,0.000350257300294486,"protein SIS1, putative"
PBANKA_0311100,0.0452074466369315,"mitochondrial large ribosomal subunit, putative"
PBANKA_0312400,0.00373763143897244,"DNA-directed RNA polymerase II subunit RPB2, putative"
PBANKA_0313300,0.0106623764819617,MtN3-like protein
PBANKA_0313400,0.00799230505059894,"autophagy-related protein 11, putative"
PBANKA_0314500,0.0165786116786742,"40S ribosomal protein S26, putative"
PBANKA_0400500,0.0465863828542237,PIR protein
PBANKA_0404400,0.0491438418464997,"conserved Plasmodium protein, unknown function"
PBANKA_0405400,0.0260304584949415,"40S ribosomal protein S12, putative"
PBANKA_0406500,0.00568067529066053,"T-complex protein 1 subunit eta, putative"
PBANKA_0417500,0.0007266006691546519,"60S ribosomal protein L32, putative"
PBANKA_0417600,0.0261792572103135,LCCL domain-containing protein
PBANKA_0501800,0.000350257300294486,"myosin essential light chain ELC, putative"
PBANKA_0506600,0.0076243119268019,"serine/arginine-rich splicing factor 4, putative"
PBANKA_0506900,0.000350257300294486,"phospholipid scramblase, putative"
PBANKA_0516900,0.0456838099669886,"S-adenosylmethionine decarboxylase/ornithine decarboxylase, putative"
PBANKA_0517000,0.0111681892298168,early transcribed membrane protein
PBANKA_0517100,0.000196520981743867,"conserved Plasmodium protein, unknown function"
PBANKA_0517400,0.0441786833977934,"pre-mRNA-splicing factor CEF1, putative"
PBANKA_0519100,0.000188830919755296,"conserved Plasmodium protein, unknown function"
PBANKA_0519200,4.27467844665234e-06,"conserved Plasmodium protein, unknown function"
PBANKA_0521700,0.000189839747400204,"AP2 domain transcription factor, putative"
PBANKA_0523900,0.0257345542272151,"glideosome associated protein with multiple membrane spans 2, putative"
PBANKA_0600051,0.00857540192200796,PIR protein
PBANKA_0600086,0.0403817936803564,PIR protein
PBANKA_0601100,0.00645254234718653,"mitochondrial phosphate carrier protein, putative"
PBANKA_0603650,0.0267910984884505,"conserved Plasmodium protein, unknown function"
PBANKA_0610400,0.0257345542272151,"non-SERCA-type Ca2+ -transporting P-ATPase, putative"
PBANKA_0616200,0.0499909729155399,"conserved Plasmodium protein, unknown function"
PBANKA_0618400,0.00422828951486563,"conserved Plasmodium protein, unknown function"
PBANKA_0619100,0.00857540192200796,"40S ribosomal protein S5, putative"
PBANKA_0622900,0.011824146758088998,"conserved Plasmodium protein, unknown function"
PBANKA_0623200,9.2319887277452e-06,"lysophospholipase, putative"
PBANKA_0623600,0.0167638407248185,PIR protein
PBANKA_0702800,0.000626257118178472,protein disulfide isomerase
PBANKA_0703900,0.000189839747400204,"receptor for activated c kinase, putative"
PBANKA_0707400,2.55056811563417e-07,"RNA-binding protein, putative"
PBANKA_0711200,0.0374439143988306,"conserved Plasmodium protein, unknown function"
PBANKA_0714400,0.0132980198005872,"EF-hand calcium-binding domain-containing protein, putative"
PBANKA_0717800,0.0374439143988306,"60S ribosomal protein L15, putative"
PBANKA_0721000,0.0130961729895645,"conserved Plasmodium protein, unknown function"
PBANKA_0800100,0.0281314738819792,PIR protein
PBANKA_0805000,0.0051555768501818896,"RAP protein, putative"
PBANKA_0806200,0.000189839747400204,"E3 ubiquitin-protein ligase RBX1, putative"
PBANKA_0806500,0.00857540192200796,"triosephosphate isomerase, putative"
PBANKA_0810500,0.00391193346225194,"apoptosis-related protein, putative"
PBANKA_0812200,0.0021576535009396,"conserved Plasmodium protein, unknown function"
PBANKA_0813000,0.00332213739677913,inhibitor of cysteine proteases
PBANKA_0818900,0.0178395765180458,"heat shock protein 70, putative"
PBANKA_0824800,0.0361118266126874,"polyadenylate-binding protein 2, putative"
PBANKA_0833000,0.0470933121945323,profilin
PBANKA_0836800,0.010572635766456,erythrocyte membrane associated protein 1
PBANKA_0836900,0.0239602934187383,PIR protein
PBANKA_0901000,1.6188005417744499e-06,fam-a protein
PBANKA_0901400,0.00606481144669096,"ATP synthase subunit delta, mitochondrial, putative"
PBANKA_0913400,0.0470933121945323,protein phosphatase PPM8
PBANKA_0915000,5.654614851285201e-06,apical membrane antigen 1
PBANKA_0916200,0.00337578263132671,"T-complex protein 1 subunit alpha, putative"
PBANKA_0916600,0.0169164309963797,"oxysterol-binding protein, putative"
PBANKA_0916700,0.0051555768501818896,"conserved Plasmodium protein, unknown function"
PBANKA_0928100,3.26751994329016e-05,"phosphoglycerate mutase, putative"
PBANKA_0928800,0.00122681087148598,"splicing factor U2AF small subunit, putative"
PBANKA_0931100,4.01348090194877e-05,"conserved Plasmodium protein, unknown function"
PBANKA_0932200,0.0011144264026630099,"peptidyl-prolyl cis-trans isomerase, putative"
PBANKA_0932300,0.00857540192200796,"AP2 domain transcription factor, putative"
PBANKA_0933200,0.0238457855973722,"conserved Plasmodium protein, unknown function"
PBANKA_0933500,0.000352227556701895,rhomboid protease ROM1
PBANKA_0934200,1.6188005417744499e-06,"ubiquitin domain-containing protein DSK2, putative"
PBANKA_0934500,0.0499909729155399,protein tyrosine phosphatase
PBANKA_0941200,0.000350257300294486,"tRNA-splicing ligase RtcB, putative"
PBANKA_0943400,0.00725934527090802,CPW-WPC family protein
PBANKA_1002600,2.7446520581316e-05,6-cysteine protein
